inquiry_id,listing_id,listing_name,user_id
LIB5exO9X32v,LbcPU4zFMuU2,Suntrust Parkview (Besides SM Manila and near Central LRT station),UwwsnJeiawnB
LIjsOuU9h53i,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UBeD6Fmn4RyY
LI832NZD9Ydn,LbBaSAst8Fns,VICTORIA DE MANILA 2: Condo Bed Space for Male,UdOUHFJkvt4d
LI5axPRK6hVY,Lbx1R4QErmjF,Trees Residences,U62w4gFYc71A
LIu2hnQmSVHQ,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",U62w4gFYc71A
LIu2HO5jhIEx,LbFKmFoxTE2F,"Room for Rent in Cubao, Quezon City",U62w4gFYc71A
LIEskxn5H9bW,LbkTvqH7N4ED,MyTown Istanbul,UNbwM4qzYyId
LIIqg6nYazAn,LOnDCvp3i3Ar,Bedspaces for Rent in U-Belt,U4q5sq9yBbCH
LIhXy3PQvxhA,LbkTvqH7N4ED,MyTown Istanbul,UAYieLcFSSrS
LIBUGzioohos,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",U8r8GiqS8p9n
LIwbwCYvIq5V,LbzXb7RLQ2S1,Female Bedspace Dormitory Near Feu Nrmf Quezon City,UxfjtMgmlraC
LIRjzfsaLe6y,Lbfld0iKDtax,Makati Condo Sharing,U2V8y1FUWAqw
LIiVV2VjdbDS,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UHghvPrOwsDn
LIHSFm5N58da,Lb7JSYxT0EMV,Vizione Dormitory,USyj8sTisg6p
LIG5kjq43v06,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UIKyigzR8f3b
LIJ2ernQ9OB4,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",Ugp8Yd7tgh7v
LIdzXBlrjfoQ,LbBaSAst8Fns,VICTORIA DE MANILA 2: Condo Bed Space for Male,UbFdcXutMV2w
LItMY280Eqr4,LbBaSAst8Fns,VICTORIA DE MANILA 2: Condo Bed Space for Male,UdOUHFJkvt4d
LItFDAesUupd,LbQq5tmgdhM7,Private Rooms for Rent near Araneta Center,U2D3vYStcBve
LIS7NNrcaMIu,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UNvaYJ7Due2o
LID4CR5GQAQk,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UNvaYJ7Due2o
LIt09Ko6mkS9,LbYq2DZdfFSk,Condo for Students and Office Workers,UMHdoaqShbgN
LILo2PA8SGEo,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",Umgmu2MNe1zq
LI7CWRXtjONc,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UMHdoaqShbgN
LIJp49G1dYiv,LbyAk88qUDIy,MyTown Athens,UwHzZ3fSYw7e
LINtCUHJGuHE,Lb7L0RPtaoCK,MyTown New York,U8X5Pwh879wq
LIS5NAVm8Ekg,LbiPp8bBbbtX,"BEDSPACE NEAR FEU, UST, REVIEW CENTERS",UnOX3NRng7K5
LIdhLzddHfAT,LbBaSAst8Fns,VICTORIA DE MANILA 2: Condo Bed Space for Male,UbFdcXutMV2w
LIw1QX6BZmiL,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UX2oArP1AtbN
LIYaJgNgKUWd,LbXtVNYfI1FE,"Urban Pad: Semi-Furnished, 4 Loft Beds, Free WiFi, and Study hub",Ui9ON4CfyCJi
LIPaJUsW5SiN,Lol2SGO7WEIX,Dorm Near UST For Rent with Wifi,UAQgjjecGaOx
LIWE6Hi9N0rX,Lbizsqtx1YE4,Bed Space for rent,U8WLudO7KY9N
LIqNypMio4Vf,Lbyu7MvkWKSS,Male Bedspace for Rent in Quezon City at The Avenue Residences,U8WLudO7KY9N
LI5XBMvagE7H,LbZLBdRHpQH8,Dormitory @Katipunan Avenue QC,UAZvjpzrsKjG
LIr3wMiDWXvt,LbR5q3YhBQkt,"Room for Rent near UST Sampaloc,Ubelt",UKctQv1Z8gfx
LISwrJgKtKqU,Lb0qzNV2J0cx,Urban Deca Homes Manila,UKctQv1Z8gfx
LI6AViKJCVVy,LbHk32BxrSpi,Condo Sharing w/ FREE Wifi!,UKctQv1Z8gfx
LI5GbmdPA6kH,LbX0HYnzVHKI,Female Bedspace for Rent in Quezon City at The Avenue Residences,UVnZL9xRAvNw
LIHLmRdy3VLV,Lbyu7MvkWKSS,Male Bedspace for Rent in Quezon City at The Avenue Residences,UVnZL9xRAvNw
LIqfLfqsZ91q,LbA1SMI7ezgC,Male Bedspace for Rent in Quezon City at The Avenue Residences (2BR),UVnZL9xRAvNw
LIaeSDLe1azV,LbA1SMI7ezgC,Male Bedspace for Rent in Quezon City at The Avenue Residences (2BR),UwwsnJeiawnB
LIcQtPs1U7Pf,LbFeNclkpUuO,"Room for Rent near Sta. Mesa, PUP, UERM",UJmFQvyeAh6m
LIOvxplJ6WRi,Lb32JW11NKLq,Bedspace for Rent near UST and U-Belt,UV5zUNUCe7BZ
